Number,Screw_Size,Diameter,Series,FB_washer_inner_dia,FB_washer_outer_dia,FB_washer_thk,Min_Dia,Max_Dia
5234523585,No. 0,0.06,R,0.068,0.188,0.025,0.061,0.099
5234523586,No. 1,0.073,R,0.084,0.219,0.025,0.074,0.112
5234523587,No. 2,0.086,R,0.094,0.25,0.032,0.087,0.125
5234523588,No. 3,0.099,R,0.109,0.312,0.032,0.1,0.138
5234523589,No. 4,0.112,R,0.125,0.375,0.04,0.113,0.164
5234523590,No. 5,0.125,R,0.141,0.406,0.04,0.126,0.19
5234523591,No. 6,0.138,R,0.156,0.438,0.04,0.139,0.216
5234523592,No. 8,0.164,R,0.188,0.5,0.04,0.165,0.25
5234523593,No. 10,0.19,R,0.203,0.562,0.04,0.191,0.312
5234523594,No. 12,0.216,R,0.234,0.625,0.063,0.217,0.375
5234523595,0.25,0.25,R,0.281,0.734,0.063,0.251,0.438
5234523596,0.3125,0.312,R,0.344,0.875,0.063,0.313,0.5
5234523597,0.375,0.375,R,0.406,1,0.063,0.376,0.562
5234523598,0.4375,0.438,R,0.469,1.125,0.063,0.439,0.625
5234523599,0.5,0.5,R,0.531,1.25,0.1,0.501,0.75
5234523600,0.5625,0.562,R,0.594,1.469,0.1,0.563,0.875
5234523601,0.625,0.625,R,0.656,1.75,0.1,0.626,1
5234523602,0.75,0.75,R,0.812,2,0.1,0.751,1.125
5234523603,0.875,0.875,R,0.938,2.25,0.16,0.876,1.25
5234523604,1,1,R,1.062,2.5,0.16,1.001,1.375
5234523605,1.125,1.125,R,1.188,2.75,0.16,1.126,1.5
5234523606,1.25,1.25,R,1.312,3,0.16,1.251,1.625
5234523607,1.375,1.375,R,1.438,3.25,0.16,1.376,1.75
5234523608,1.5,1.5,R,1.562,3.5,0.25,1.501,1.875
5234523609,1.625,1.625,R,1.75,3.75,0.25,1.626,2
5234523610,1.75,1.75,R,1.875,4,0.25,1.751,2.25
5234523611,1.875,1.875,R,2,4.25,0.25,1.876,2.5
5234523612,2,2,R,2.125,4.5,0.25,2.001,2.75
5234523613,2.25,2.25,R,2.375,5,0.25,2.251,3
5234523614,2.5,2.5,R,2.625,5.5,0.375,2.501,3.25
5234523615,2.75,2.75,R,2.875,6,0.375,2.751,3.25
5234523616,3,3,R,3.125,6.5,0.375,3.001,3.25
