Number,Screw_Size,Diameter,Series,FB_washer_inner_dia,FB_washer_outer_dia,FB_washer_thk,Min_Dia,Max_Dia
5234523231,No. 0,0.06,W,0.068,0.25,0.025,0.061,0.099
5234523232,No. 1,0.073,W,0.084,0.281,0.032,0.074,0.112
5234523233,No. 2,0.086,W,0.094,0.344,0.032,0.087,0.125
5234523234,No. 3,0.099,W,0.109,0.406,0.04,0.1,0.138
5234523235,No. 4,0.112,W,0.125,0.438,0.04,0.113,0.164
5234523236,No. 5,0.125,W,0.141,0.5,0.04,0.126,0.19
5234523237,No. 6,0.138,W,0.156,0.562,0.04,0.139,0.216
5234523238,No. 8,0.164,W,0.188,0.625,0.063,0.165,0.25
5234523239,No. 10,0.19,W,0.203,0.734,0.063,0.191,0.312
5234523240,No. 12,0.216,W,0.234,0.875,0.063,0.217,0.375
5234523241,0.25,0.25,W,0.281,1,0.063,0.251,0.438
5234523242,0.3125,0.312,W,0.344,1.125,0.063,0.313,0.5
5234523243,0.375,0.375,W,0.406,1.25,0.1,0.376,0.562
5234523244,0.4375,0.438,W,0.469,1.469,0.1,0.439,0.625
5234523245,0.5,0.5,W,0.531,1.75,0.1,0.501,0.75
5234523246,0.5625,0.562,W,0.594,2,0.1,0.563,0.875
5234523247,0.625,0.625,W,0.656,2.25,0.16,0.626,1
5234523248,0.75,0.75,W,0.812,2.5,0.16,0.751,1.125
5234523249,0.875,0.875,W,0.938,2.75,0.16,0.876,1.25
5234523250,1,1,W,1.062,3,0.16,1.001,1.375
5234523251,1.125,1.125,W,1.188,3.25,0.16,1.126,1.5
5234523252,1.25,1.25,W,1.312,3.5,0.25,1.251,1.625
5234523253,1.375,1.375,W,1.438,3.75,0.25,1.376,1.75
5234523254,1.5,1.5,W,1.562,4,0.25,1.501,1.875
5234523255,1.625,1.625,W,1.75,4.25,0.25,1.626,2
5234523256,1.75,1.75,W,1.875,4.5,0.25,1.751,2.25
5234523257,1.875,1.875,W,2,4.75,0.25,1.876,2.5
5234523258,2,2,W,2.125,5,0.25,2.001,2.75
5234523259,2.25,2.25,W,2.375,5.5,0.375,2.251,3
5234523260,2.5,2.5,W,2.625,6,0.375,2.501,
5234523261,2.75,2.75,W,2.875,6.5,0.375,2.751,
5234523262,3,3,W,3.125,7,0.375,3.001,3.25
