Number,Screw_Size,Diameter,Hex_Key,Head_Dia,FB_Head_Height,Min_Dia,Max_Dia,FB_Radius,FB_Head_Radius
5234523523,No. 0,0.06000,0.05000,0.09600,0.06000,0.06100,0.07300,0.03,0.048
5234523524,No. 1,0.07300,0.06250,0.11800,0.07300,0.07400,0.08600,0.0365,0.059
5234523525,No. 2,0.08600,0.07813,0.14000,0.08600,0.08700,0.09900,0.043,0.07
5234523526,No. 3,0.09900,0.07813,0.16100,0.09900,0.10000,0.11200,0.0495,0.0805
5234523527,No. 4,0.11200,0.09375,0.18300,0.11200,0.11300,0.12500,0.056,0.0915
5234523528,No. 5,0.12500,0.09375,0.20500,0.12500,0.12600,0.13800,0.0625,0.1025
5234523529,No. 6,0.13800,0.10938,0.22600,0.13800,0.13900,0.16400,0.069,0.113
5234523530,No. 8,0.16400,0.14063,0.27000,0.16400,0.16500,0.19000,0.082,0.135
5234523531,No. 10,0.19000,0.15625,0.31200,0.19000,0.19100,0.21600,0.095,0.156
5234523532,No. 12,0.21600,0.15625,0.34500,0.21600,0.21700,0.25000,0.108,0.1725
5234523533,"1/4""",0.25000,0.18750,0.37500,0.25000,0.25100,0.31300,0.125,0.1875
5234523534,"5/16""",0.31300,0.25000,0.46900,0.31300,0.31400,0.37500,0.1565,0.2345
5234523535,"3/8""",0.37500,0.31250,0.56300,0.37500,0.37600,0.43800,0.1875,0.2815
5234523536,"7/16""",0.43800,0.37500,0.65600,0.43800,0.43900,0.50000,0.219,0.328
5234523537,"1/2""",0.50000,0.37500,0.75000,0.50000,0.50100,0.56300,0.25,0.375
5234523538,"9/16""",0.56300,0.43750,0.84400,0.56300,0.56400,0.62500,0.2815,0.422
5234523539,"5/8""",0.62500,0.50000,0.93800,0.62500,0.62600,0.75000,0.3125,0.469
5234523540,"3/4""",0.75000,0.62500,1.12500,0.75000,0.75100,0.87500,0.375,0.5625
5234523541,"7/8""",0.87500,0.75000,1.31300,0.87500,0.87600,1.00000,0.4375,0.6565
5234523542,"1""",1.00000,0.75000,1.50000,1.00000,1.00100,1.12500,0.5,0.75
5234523543,"1-1/8""",1.12500,0.87500,1.68800,1.12500,1.12600,1.25000,0.5625,0.844
5234523544,"1-1/4""",1.25000,0.87500,1.87500,1.25000,1.25100,1.50000,0.625,0.9375
5234523545,"1-1/2""",1.50000,1.00000,2.25000,1.50000,1.50100,1.75000,0.75,1.125
5234523546,"1-3/4""",1.75000,1.25000,2.62500,1.75000,1.75100,2.00000,0.875,1.3125
5234523547,"2""",2.00000,1.50000,3.00000,2.00000,2.00100,2.25000,1,1.5
